"Name","ID","Runtime","Sweep","accuracy","epoch","n_epochs","batch_size","n_mels","n_fft","win_length","hop_length","f_max","mix_up","normalize","learning_rate","arch","valid_loss","train_loss"
"drawn-sweep-59","nfpnuov5","846","3wp1qhom","0.925000011920929","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3287948668003082","0.3401947617530823"
"faithful-sweep-58","o3gz0w5k","858","3wp1qhom","0.9200000166893004","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3121910095214844","0.34504440426826477"
"stilted-sweep-57","y3m9dse1","839","3wp1qhom","0.8974999785423279","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.32897689938545227","0.3291800320148468"
"silvery-sweep-56","89kynq32","839","3wp1qhom","0.9325000047683716","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.2823506295681","0.3269346356391907"
"drawn-sweep-55","aug5g4yz","235","3wp1qhom","0.8700000047683716","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4428578317165375","0.44575634598731995"
"denim-sweep-54","d0zx6eez","234","3wp1qhom","0.8949999809265137","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3999481499195099","0.4541588127613067"
"mild-sweep-53","s048pzb8","233","3wp1qhom","0.8675000071525574","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4517657160758972","0.44764959812164307"
"snowy-sweep-52","axjzf0ef","238","3wp1qhom","0.8799999952316284","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4087373614311218","0.4378558695316314"
"gentle-sweep-51","9hee4ryo","232","3wp1qhom","0.8675000071525574","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.40817537903785706","0.4582941234111786"
"vital-sweep-50","cpptwykx","132","3wp1qhom","0.8725000023841858","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.46800968050956726","0.5772835612297058"
"bright-sweep-49","whtm7nta","134","3wp1qhom","0.862500011920929","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4645286798477173","0.5548012256622314"
"scarlet-sweep-48","pnkyny0f","131","3wp1qhom","0.8374999761581421","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5415448546409607","0.5627319812774658"
"celestial-sweep-47","2041oyvd","131","3wp1qhom","0.8475000262260437","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5041206479072571","0.5507599115371704"
"upbeat-sweep-46","v09zgfiv","135","3wp1qhom","0.8675000071525574","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.46058082580566406","0.552556574344635"
"charmed-sweep-45","3ott0ehd","869","3wp1qhom","0.9049999713897704","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4570119976997375","0.3404688537120819"
"lucky-sweep-44","eiqsfs27","847","3wp1qhom","0.8999999761581421","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4060776233673096","0.3449486196041107"
"rural-sweep-43","x4ogynnq","847","3wp1qhom","0.8899999856948853","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4573448896408081","0.34490522742271423"
"valiant-sweep-42","fc21qpef","849","3wp1qhom","0.8974999785423279","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4191744327545166","0.3305279314517975"
"cosmic-sweep-41","65hw5iib","875","3wp1qhom","0.9075000286102296","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3914932608604431","0.3285745084285736"
"leafy-sweep-40","gduxhsfz","236","3wp1qhom","0.8450000286102295","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5786370038986206","0.45163241028785706"
"earthy-sweep-39","ho3o9qwr","236","3wp1qhom","0.8799999952316284","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4913863241672516","0.45106011629104614"
"honest-sweep-38","qfaugpai","237","3wp1qhom","0.8650000095367432","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.47031769156455994","0.4476137161254883"
"breezy-sweep-37","cksl9v0o","232","3wp1qhom","0.8550000190734863","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.523351788520813","0.43007755279541016"
